category,sub_category,title,description,price,image_url
Máy tính bảng,Ipad,iPad 10 5G,"Chip Apple A14 Bionic | RAM 4 GB | Dung lượng 64 GB | 5G, Nghe gọi qua FaceTime | Pin 28.6 Wh (~ 7587 mAh),  Sạc 20 W",14.290.000,https://cdn.tgdd.vn/Products/Images/522/295453/ipad-10-wifi-cellular-pink-thumb-600x600.jpeg
Máy tính bảng,Ipad,iPad mini 6 WiFi 64GB,"Chip Apple A15 Bionic | RAM 4 GB | Dung lượng 64 GB | Nghe gọi qua FaceTime | Pin 19.3 Wh (~ 5175  mAh),  Sạc 20 W",12.890.000,https://cdn.tgdd.vn/Products/Images/522/248091/ipad-mini-6-wifi-starlight-1-600x600.jpg
Máy tính bảng,Samsung,Samsung Galaxy Tab S6 Lite (2024),"Chip Exynos 1280 8 nhân | RAM 4 GB | Dung lượng 64 GB | Hỗ trợ 4G, Có nghe gọi | Pin 7040 mAh,  Sạc 15 W",8.490.000,https://cdn.tgdd.vn/Products/Images/522/322134/samsung-galaxy-tab-s6-lite-2024-mint-thumb-600x600.jpg
Máy tính bảng,Samsung,Samsung Galaxy Tab A9,"Chip MediaTek Helio G99 | RAM 4 GB | Dung lượng 64 GB | Hỗ trợ 4G, Có nghe gọi | Pin 5100 mAh,  Sạc 15 W",4.690.000,https://cdn.tgdd.vn/Products/Images/522/317621/samsung-galaxy-tab-a9-den-thumb-600x600.jpg
Máy tính bảng,Samsung,Samsung Galaxy Tab A9+,"Chip Snapdragon 695 | RAM 4 GB | Dung lượng 64 GB | 5G, Có nghe gọi | Pin 7040 mAh,  Sạc 15 W",6.690.000,https://cdn.tgdd.vn/Products/Images/522/317623/samsung-galaxy-a9-plus-den-thumb-600x600.jpg
Máy tính bảng,Samsung,Samsung Galaxy Tab S9+ 5G,"Chip Snapdragon 8 Gen 2 for Galaxy | RAM 12 GB | Dung lượng 256 GB | 5G, Có nghe gọi | Pin 10090 mAh,  Sạc 45 W",28.990.000,https://cdn.tgdd.vn/Products/Images/522/311074/samsung-galaxy-tab-s9-plus-thumbnew-600x600.jpg
Máy tính bảng,Samsung,Samsung Galaxy Tab S9+ WiFi,"Chip Snapdragon 8 Gen 2 for Galaxy | RAM 12 GB | Dung lượng 256 GB | Pin 10090 mAh,  Sạc 45 W",25.990.000,https://cdn.tgdd.vn/Products/Images/522/307178/samsung-galaxy-tab-s9-plus-kem-thumbnew-600x600.jpg
Máy tính bảng,Samsung,Samsung Galaxy Tab S9 5G,"Chip Snapdragon 8 Gen 2 for Galaxy | RAM 8 GB | Dung lượng 128 GB | 5G, Có nghe gọi | Pin 8400 mAh,  Sạc 45 W",22.990.000,https://cdn.tgdd.vn/Products/Images/522/311062/samsung-galaxy-tab-s9-kem-thumbnew-600x600.jpg
Máy tính bảng,Samsung,Samsung Galaxy Tab S9 WiFi,"Chip Snapdragon 8 Gen 2 for Galaxy | RAM 8 GB | Dung lượng 128 GB | Pin 8400 mAh,  Sạc 45 W",19.990.000,https://cdn.tgdd.vn/Products/Images/522/303299/samsung-galaxy-tab-s9-grey-thumbnew-600x600.jpg
Máy tính bảng,Samsung,Samsung Galaxy Tab S9 FE WiFi series,"Chip Exynos 1380 8 nhân | RAM 6 GB | Dung lượng 128 GB | Pin 8000 mAh,  Sạc 45 W",9.990.000,https://cdn.tgdd.vn/Products/Images/522/309818/galaxy-tab-s9-fe-xanh-mint-thumb-600x600.jpg
Máy tính bảng,Xiaomi,Xiaomi Redmi Pad SE (4GB/128GB),"Chip Snapdragon 680 8 nhân | RAM 4 GB | Dung lượng 128 GB | Pin 8000 mAh,  Sạc 10 W",4.290.000,https://cdn.tgdd.vn/Products/Images/522/315607/xiaomi-pad-se-xanh-thumb-600x600.jpg
Máy tính bảng,Xiaomi,Xiaomi Pad 6,"Chip Snapdragon 870 5G | RAM 8 GB | Dung lượng 256 GB | Pin 8840 mAh,  Sạc 33 W",9.490.000,https://cdn.tgdd.vn/Products/Images/522/309848/xiaomi-pad-6-blue-thumb-600x600.jpg
Máy tính bảng,Xiaomi,Xiaomi Redmi Pad SE (8GB/256GB),"Chip Snapdragon 680 8 nhân | RAM 8 GB | Dung lượng 256 GB | Pin 8000 mAh,  Sạc 10 W",5.590.000,https://cdn.tgdd.vn/Products/Images/522/315622/xiaomi-redmi-pad-se-tim-thumb-600x600.jpeg
Máy tính bảng,Xiaomi,Xiaomi Redmi Pad SE (6GB/128GB),"Chip Snapdragon 680 8 nhân | RAM 6 GB | Dung lượng 128 GB | Pin 8000 mAh,  Sạc 10 W",4.990.000,https://cdn.tgdd.vn/Products/Images/522/310029/xiaomi-pad-se-xanh-thumb-600x600.jpg
Máy tính bảng,Oppo,OPPO Pad Neo WiFi,"Chip MediaTek Helio G99 | RAM 6 GB | Dung lượng 128 GB | Pin 8000 mAh,  Sạc 33 W",6.990.000,https://cdn.tgdd.vn/Products/Images/522/322613/oppo-pad-neo-6gb-thumb-1-600x600.jpg
Máy tính bảng,Oppo,OPPO Pad 2,"Chip Mediatek Dimensity 9000 8 nhân | RAM 8 GB | Dung lượng 256 GB | Pin 9510 mAh,  Sạc 67 W",12.990.000,https://cdn.tgdd.vn/Products/Images/522/303146/oppo-pad-2-thumb-600x600.jpeg
Máy tính bảng,Oppo,OPPO Pad Neo 4G,"Chip MediaTek Helio G99 | RAM 8 GB | Dung lượng 128 GB | Hỗ trợ 4G, Có nghe gọi | Pin 8000 mAh,  Sạc 33 W",7.990.000,https://cdn.tgdd.vn/Products/Images/522/320992/oppo-pad-neo-grey-thumb-600x600.jpg
Máy tính bảng,Oppo,OPPO Pad Air 128GB,"Chip Snapdragon 680 8 nhân | RAM 4 GB | Dung lượng 128 GB | Pin 7100 mAh,  Sạc 18 W",5.490.000,https://cdn.tgdd.vn/Products/Images/522/305838/oppo-pad-air-128gb-thumbnew-600x600.jpeg
Máy tính bảng,Oppo,OPPO Pad Air 64GB,"Chip Snapdragon 680 8 nhân | RAM 4 GB | Dung lượng 64 GB | Pin 7100 mAh,  Sạc 18 W",4.990.000,https://cdn.tgdd.vn/Products/Images/522/281821/OPPO-pad-thumb-xám-600x600.jpg
Máy tính bảng,Lenovo,Lenovo Tab M10 (Gen 3) 3GB/32GB,"Chip Unisoc T610 | RAM 3 GB | Dung lượng 32 GB | Hỗ trợ 4G, Có nghe gọi | Pin 5000 mAh,  Sạc 10 W",3.690.000,https://cdn.tgdd.vn/Products/Images/522/285039/lenovo-tab-m10-gen-3-1-2-600x600.jpg
Máy tính bảng,Lenovo,Lenovo Tab M9,"Chip MediaTek Helio G80 | RAM 4 GB | Dung lượng 64 GB | Hỗ trợ 4G, Có nghe gọi | Pin 5100 mAh,  Sạc 10 W",3.990.000,https://cdn.tgdd.vn/Products/Images/522/306923/lenovo-tab-m8-xanh-thumb-1-600x600.jpg
Máy tính bảng,Lenovo,Lenovo Tab M8 (Gen 4),"Chip MediaTek Helio A22 | RAM 3 GB | Dung lượng 32 GB | Hỗ trợ 4G, Có nghe gọi | Pin 5100 mAh,  Sạc 10 W",2.490.000,https://cdn.tgdd.vn/Products/Images/522/306924/tab_m8_gen4_thumb-600x600.jpg
Máy tính bảng,Tcl,TCL Tab 11 Wifi (4GB/128GB),"Chip Helio P60T | RAM 4 GB | Dung lượng 128 GB | Pin 8000 mAh,  Sạc 18 W",3.690.000,https://cdn.tgdd.vn/Products/Images/522/320991/tcl-tab-11-xam-thumb-600x600.jpg
Máy tính bảng,Tcl,TCL Tab 10 Gen 2 LTE (4GB/64GB),"Chip MediaTek MT8768 | RAM 4 GB | Dung lượng 64 GB | Hỗ trợ 4G, Có nghe gọi | Pin 6000 mAh,  Sạc 10 W",3.290.000,https://cdn.tgdd.vn/Products/Images/522/320990/tcl-tab-10-gen-2-thumb-600x600.jpg
Máy tính bảng,Tcl,TCL Tab 10L Gen 2 Wifi (3GB/32GB),"Chip MediaTek MT8766 | RAM 3 GB | Dung lượng 32 GB | Pin 6000 mAh,  Sạc 10 W",2.090.000,https://cdn.tgdd.vn/Products/Images/522/320989/tcl-tab-10l-gen-2-black-thumb-600x600.jpg
