category,sub_category,title,description,price,image_url
Đồng hồ thông minh,Apple,Apple Watch SE 2023 GPS 40mm viền nhôm dây vải,"Màn hình: OLED | Theo dõi sức khỏe: Đếm số bước chân, Đo nhịp tim, Tính quãng đường chạy | Thông báo ứng dụng: Zalo, Viber, Tin nhắn",6.190.000,https://cdn.tgdd.vn/Products/Images/7077/316008/apple-watch-se-2023-40mm-vien-nhom-day-vai-xanh-thumb-1-600x600.jpg
Đồng hồ thông minh,Apple,Apple Watch Series 9 GPS + Cellular 41mm viền nhôm dây thể thao,"Màn hình: OLED, 1.9 inch | Theo dõi sức khỏe: Ước tính ngày rụng trứng, Đếm số bước chân, Đo nồng độ oxy (SpO2) | Thông báo ứng dụng: Zalo, Viber, Tin nhắn",12.390.000,https://cdn.tgdd.vn/Products/Images/7077/314690/apple-watch-s9-lte-41mm-vien-nhom-day-silicone-xanh-nhat-thumb-3-600x600.png
Đồng hồ thông minh,Apple,Apple Watch SE 2023 GPS + Cellular 40mm viền nhôm dây thể thao,"Màn hình: OLED | Theo dõi sức khỏe: Đếm số bước chân, Đo nhịp tim, Tính quãng đường chạy | Thông báo ứng dụng: Zalo, Viber, Tin nhắn",7.390.000,https://cdn.tgdd.vn/Products/Images/7077/316003/apple-watch-se-lte-2023-40mm-vien-nhom-day-silicone-trang-thumb-1-600x600.jpg
Đồng hồ thông minh,Apple,Apple Watch Ultra 2 GPS + Cellular 49mm viền Titanium dây Trail size M/L,"Màn hình: OLED, 1.92 inch | Theo dõi sức khỏe: Ước tính ngày rụng trứng, Đếm số bước chân, Đo nồng độ oxy (SpO2) | Thông báo ứng dụng: Zalo, Viber, Tin nhắn",21.190.000,https://cdn.tgdd.vn/Products/Images/7077/314714/apple-watch-ultra-lte-49mm-vien-titanium-day-trail-den-thumb-1-600x600.jpg
Đồng hồ thông minh,Apple,Apple Watch Ultra 2 GPS + Cellular 49mm viền Titanium dây Alpine size S,"Màn hình: OLED, 1.92 inch | Theo dõi sức khỏe: Ước tính ngày rụng trứng, Đếm số bước chân, Đo nồng độ oxy (SpO2) | Thông báo ứng dụng: Zalo, Viber, Tin nhắn",21.190.000,https://cdn.tgdd.vn/Products/Images/7077/314938/apple-watch-ultra-lte-49mm-vien-titanium-day-alpine-size-s-nau-thumb-3-600x600.jpg
Đồng hồ thông minh,Apple,Apple Watch Series 9 GPS + Cellular 41mm viền thép dây thể thao,"Màn hình: OLED, 1.9 inch | Theo dõi sức khỏe: Ước tính ngày rụng trứng, Đếm số bước chân, Đo nồng độ oxy (SpO2) | Thông báo ứng dụng: Zalo, Viber, Tin nhắn",18.990.000,https://cdn.tgdd.vn/Products/Images/7077/314692/apple-watch-s9-lte-41mm-vien-thep-khong-gi-day-silicone-xanh-duong-thumb-1-600x600.png
Đồng hồ thông minh,Apple,Apple Watch Series 9 GPS + Cellular 45mm viền nhôm dây thể thao,"Màn hình: OLED, 1.9 inch | Theo dõi sức khỏe: Ước tính ngày rụng trứng, Đếm số bước chân, Đo nồng độ oxy (SpO2) | Thông báo ứng dụng: Zalo, Viber, Tin nhắn",13.690.000,https://cdn.tgdd.vn/Products/Images/7077/314691/apple-watch-s9-lte-45mm-vien-nhom-day-silicone-xanh-den-thumb-3-600x600.png
Đồng hồ thông minh,Apple,Apple Watch Series 9 GPS + Cellular 45mm viền nhôm dây thể thao size S/M,"Màn hình: OLED, 1.9 inch | Theo dõi sức khỏe: Ước tính ngày rụng trứng, Đếm số bước chân, Đo nồng độ oxy (SpO2) | Thông báo ứng dụng: Zalo, Viber, Tin nhắn",13.690.000,https://cdn.tgdd.vn/Products/Images/7077/315997/apple-watch-s9-lte-45mm-vien-nhom-day-silicone-day-ngan-xanh-den-thumb-1-600x600.jpg
Đồng hồ thông minh,Apple,Apple Watch Series 9 GPS + Cellular 41mm viền nhôm dây vải,"Màn hình: OLED, 1.9 inch | Theo dõi sức khỏe: Ước tính ngày rụng trứng, Đếm số bước chân, Đo nồng độ oxy (SpO2) | Thông báo ứng dụng: Zalo, Viber, Tin nhắn",12.790.000,https://cdn.tgdd.vn/Products/Images/7077/315995/apple-watch-s9-lte-41mm-vien-nhom-day-vai-hong-thumb-1-600x600.jpg
Đồng hồ thông minh,Apple,Apple Watch Series 9 GPS 45mm viền nhôm dây thể thao,"Màn hình: OLED, 1.9 inch | Theo dõi sức khỏe: Ước tính ngày rụng trứng, Đếm số bước chân, Đo nồng độ oxy (SpO2) | Thông báo ứng dụng: Zalo, Viber, Tin nhắn",10.790.000,https://cdn.tgdd.vn/Products/Images/7077/314708/apple-watch-s9-41mm-vien-nhom-day-silicone-xanh-thumb-2-600x600.jpg
