category,sub_category,title,description,price,image_url
Máy tính xách tay,Lenovo,Lenovo Ideapad 5 Pro 14IAP7 i7 1260P (82SH002SVN),"Màn hình: 14"", 2K, 90Hz | CPU: i7, 1260P, 2.1GHz | Card: Intel Iris Xe | Pin: 56.5Wh | Khối lượng: 1.42 kg",21.490.000,https://cdn.tgdd.vn/Products/Images/44/288199/lenovo-ideapad-5-pro-14iap7-i7-82sh002svn-ab-thumb-600x600.jpg
Máy tính xách tay,Lenovo,Lenovo V15 G4 IRU i5 1335U (83A1000LVN),"Màn hình: 15.6"", Full HD/Full HD+ | CPU: i5, 1335U, 1.3GHz | Card: Intel Iris Xe | Pin: 38Wh | Khối lượng: 1.67 kg",15.290.000,https://cdn.tgdd.vn/Products/Images/44/314257/lenovo-v15-g4-iru-i5-83a1000lvn-thumb-1-600x600.jpg
Máy tính xách tay,Lenovo,Lenovo LOQ Gaming 15IRH8 i7 13620H (82XV00QXVN),"Màn hình: 15.6"", Full HD/Full HD+, 144Hz | CPU: i7, 13620H, 2.4GHz | Card: RTX 4050 6GB | Pin: 60 Wh | Khối lượng: 2.4 kg",28.490.000,https://cdn.tgdd.vn/Products/Images/44/313613/lenovo-loq-gaming-15irh8-i7-82xv00qxvn-thumb-600x600.jpg
Máy tính xách tay,Lenovo,Lenovo Gaming Legion 5 16IRH8 i5 13500H (82YA00BSVN),"Màn hình: 16"", 2K, 165Hz | CPU: i5, 13500H, 2.6GHz | Card: RTX 4050 6GB | Pin: 80 Wh | Khối lượng: 2.4 kg",33.990.000,https://cdn.tgdd.vn/Products/Images/44/313639/lenovo-legion-5-16irh8-i5-82ya00bsvn-280823-025858-600x600.jpg
Máy tính xách tay,Lenovo,Lenovo Yoga Slim 7 14IMH9 Ultra 7 155H (83CV001VVN),"Màn hình: 14"", Full HD/Full HD+ | CPU: Ultra 7, 155H, 3.8GHz | Card: Intel Arc Graphics | Pin: 65Wh | Khối lượng: 1.39 kg",30.990.000,https://cdn.tgdd.vn/Products/Images/44/325512/lenovo-yoga-7-14imh9-ultra7-83cv001vvn-thumb-600x600.jpg
Máy tính xách tay,Asus,Asus Vivobook 15 OLED A1505ZA i5 12500H (L1337W),"Màn hình: 15.6"", Full HD/Full HD+ | CPU: i5, 12500H, 2.5GHz | Card: Intel Iris Xe | Pin: 3-cell, 50Wh | Khối lượng: 1.7 kg",16.490.000,https://cdn.tgdd.vn/Products/Images/44/311180/asus-vivobook-15-oled-a1505za-i5-l1337w-thumb-1-600x600.jpg
Máy tính xách tay,Asus,Asus Vivobook Go 15 E1504FA R5 7520U (NJ776W),"Màn hình: 15.6"", Full HD/Full HD+ | CPU: Ryzen 5, 7520U, 2.8GHz | Card: Radeon | Pin: 3-cell, 42Wh | Khối lượng: 1.63 kg",12.490.000,https://cdn.tgdd.vn/Products/Images/44/311178/asus-vivobook-go-15-e1504fa-r5-nj776w-thumb-600x600.jpg
Máy tính xách tay,Asus,Asus Vivobook 15 X1504ZA i3 1215U (NJ102W),"Màn hình: 15.6"", Full HD/Full HD+ | CPU: i3, 1215U, 1.2GHz | Card: Intel UHD | Pin: 3-cell, 42Wh | Khối lượng: 1.7 kg",10.290.000,https://cdn.tgdd.vn/Products/Images/44/312414/asus-vivobook-15-x1504za-i3-nj102w-thumb-600x600.jpg
Máy tính xách tay,Asus,Asus TUF Gaming A15 FA506NF R5 7535HS (HN012W),"Màn hình: 15.6"", Full HD/Full HD+, 144Hz | CPU: Ryzen 5, 7535HS, 3.3GHz | Card: RTX 2050 4GB | Pin: 3-cell, 48Wh | Khối lượng: 2.3 kg",17.490.000,https://cdn.tgdd.vn/Products/Images/44/322269/asus-tuf-gaming-a15-fa506nf-r5-hn012w-thumb-600x600.jpg
Máy tính xách tay,Asus,Asus Vivobook 15 OLED A1505VA i5 13500H (L1341W),"Màn hình: 15.6"", Full HD/Full HD+ | CPU: i5, 13500H, 2.6GHz | Card: Intel Iris Xe | Pin: 3-cell, 50Wh | Khối lượng: 1.7 kg",17.990.000,https://cdn.tgdd.vn/Products/Images/44/310839/asus-vivobook-15-oled-a1505va-i5-l1341w-thumb-600x600.jpg
